car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train
Chrysler,300 C ,2010,9800.0,"Armenia, Lori",164800.0,Sedan,Gas,Automatic,Left,Black,Excellent,https://auto.am/offer/3031827,2.5,200,4,AWD 4x4
Nissan,Sentra ,2017,9800.0,"Armenia, Yerevan",122000.0,Sedan,Gas,Automatic,Left,Gray,Excellent,https://auto.am/offer/3040026,1.8,130,4,FWD
Mazda,3,2014,9800.0,"Armenia, Yerevan",104000.0,Sedan,Gasoline,Automatic,Left,White,Good,https://auto.am/offer/3030425,2.5,180,4,FWD
Mercedes-Benz,E 320 ,2004,9800.0,"Armenia, Yerevan",189000.0,Sedan,Gas,Automatic,Left,White,Good,https://auto.am/offer/3017796,3.2,232,6,AWD 4x4
Toyota,Corolla ,2007,9800.0,"Armenia, Yerevan",106000.0,Sedan,Gasoline,Automatic,Left,Red,Excellent,https://auto.am/offer/2983373,1.6,158,4,FWD
Mercedes-Benz,350,2007,9800.0,"Armenia, Yerevan",215000.0,Sedan,Gasoline,Automatic,Left,White,Good,https://auto.am/offer/3035364,3.5,272,6,RWD
Ford,Fusion ,2014,9800.0,"Armenia, Yerevan",301100.0,Sedan,Gas,Automatic,Left,Օther color,Good,https://auto.am/offer/2826050,2.5,175,4,FWD
Hyundai,Sonata ,2015,9800.0,"Armenia, Yerevan",161600.0,Sedan,Gasoline,Automatic,Left,White,Good,https://auto.am/offer/3039062,2.4,186,4,FWD
Hyundai,Elantra ,2011,9800.0,"Armenia, Yerevan",201600.0,Sedan,Gas,Automatic,Left,Black,Excellent,https://auto.am/offer/3037496,1.8,148,4,FWD
Chevrolet,Cruze ,2017,9800.0,"Armenia, Yerevan",172800.0,Sedan,Gasoline,Automatic,Left,Black,Good,https://auto.am/offer/3036679,1.4,153,4,FWD
BMW,X5 ,2007,9800.0,"Armenia, Yerevan",250000.0,SUV / Truck,Gas,Automatic,Left,Blue,Excellent,https://auto.am/offer/3037519,4.8,370,8,AWD 4x4
Infiniti,G37 ,2012,9800.0,"Armenia, Yerevan",144000.0,Sedan,Gasoline,Automatic,Left,Black,Good,https://auto.am/offer/3019891,3.5,200,4,AWD 4x4
Toyota,Camry ,2010,9800.0,Armenia,170000.0,Sedan,Gas,Automatic,Left,Gray,Good,https://auto.am/offer/3040675,2.5,174,4,FWD
Hyundai,Sonata ,2012,9800.0,"Armenia, Yerevan",131200.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3020358,2.4,200,4,FWD
Mercedes-Benz,E 350 ,2007,9800.0,"Armenia, Yerevan",207000.0,Sedan,Gasoline and gas,Automatic,Left,Black,Good,https://auto.am/offer/3036626,3.5,272,6,RWD
Chevrolet,Cruze ,2016,9800.0,Armenia,103700.0,Sedan,Gasoline,Automatic,Left,Silver,Excellent,https://auto.am/offer/2980464,1.4,153,4,FWD
Land Rover,Freelander ,2007,9800.0,"Armenia, Yerevan",296000.0,SUV / Truck,Gasoline and gas,Automatic,Left,Orange,Good,https://auto.am/offer/3029724,3.2,230,8,AWD 4x4
Hyundai,Elantra ,2013,9800.0,"Armenia, Yerevan",190400.0,Sedan,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3030111,1.8,148,4,FWD
Hyundai,Solaris ,2014,9800.0,"Armenia, Yerevan",78000.0,Sedan,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3039640,1.6,123,4,FWD
Hyundai,Veloster ,2014,9800.0,"Armenia, Yerevan",129600.0,Sedan,Gasoline,Automatic,Left,Օther color,Good,https://auto.am/offer/3017952,1.6,138,4,FWD
Nissan,Sentra ,2016,9800.0,"Armenia, Kotayk",134400.0,Sedan,Gasoline,CVT Variable,Left,White,Good,https://auto.am/offer/3005869,2.5,131,1,FWD
Chevrolet,Volt ,2013,9800.0,"Armenia, Yerevan",120000.0,Hatchback,Hybrid,Automatic,Left,White,Good,https://auto.am/offer/3002867,1.4,149,4,FWD
BMW,535,2007,9800.0,"Armenia, Yerevan",256000.0,Sedan,Gasoline,Automatic,Left,Blue,Excellent,https://auto.am/offer/3039624,3.5,306,4,AWD 4x4
Ford,Focus ,2013,9800.0,"Armenia, Yerevan",188000.0,Hatchback,Gasoline,Manual,Left,Blue,Excellent,https://auto.am/offer/3016222,2.5,176,4,FWD
Kia,Optima ,2014,9800.0,"Armenia, Yerevan",120000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2975664,2.4,142,4,FWD
BMW,740,2008,9800.0,Armenia,127000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3040278,3.0,234,6,RWD
Kia,Forte ,2015,9800.0,"Armenia, Yerevan",110000.0,Sedan,Gasoline,Manual,Left,White,Average,https://auto.am/offer/3033336,1.8,143,4,FWD
Mazda,3,2017,9800.0,"Armenia, Yerevan",120000.0,Sedan,Gasoline,Automatic,Left,White,Damaged,https://auto.am/offer/3038431,2.0,157,4,FWD
Hyundai,Elantra ,2011,9700.0,"Armenia, Yerevan",142000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3026583,1.8,148,4,FWD
Kia,Forte ,2014,9700.0,"Armenia, Yerevan",200960.0,Sedan,Gasoline,Automatic,Left,Black,Good,https://auto.am/offer/3040001,1.8,142,4,FWD
Nissan,Xterra ,2003,9700.0,"Armenia, Yerevan",133000.0,SUV / Truck,Gas,Automatic,Left,Green,Excellent,https://auto.am/offer/3037386,3.3,150,6,AWD 4x4
